93,67
92,71
78,85
92,83
83,84
96,73
67,72
67,57
67,67
67,82
93,63
87,64
84,78
75,45
92,63
92,79
67,61
92,67
67,71
67,56
83,76
78,48
75,57
75,56
78,62
82,46
89,71
100,98
96,89
95,87
97,92
100,76
100,90
100,91
95,90
100,90
100,73
100,98
98,84
93,88
97,89
97,88
100,76
100,97
98,88
98,92
97,86
98,89
98,92
100,92
100,82
98,82
100,70
100,81
100,92
100,95
100,92
100,74
100,100
98,96
97,77
98,97
98,69
98,98
98,90
95,81
100,89
97,84
98,67
97,96
98,85
92,85
97,84
100,87
100,87
100,89
100,88
100,82
100,76
100,89
98,96
100,92
100,80
100,76
100,88
98,91
98,90
98,84
96,71
92,88
89,85
100,78
93,81
93,90
98,73
98,92
96,76
100,86
98,84
100,84
100,81
100,75
100,75
96,74
